# Event: Bitcoin Up or Down - January 2, 8:00AM-8:15AM ET
# Slug: btc-updown-15m-1767358800
# Address: 0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d
# Time Range: 2026-01-02 21:00:00 ~ 2026-01-02 21:15:00
# Price Symbol: BTCUSDC
# Total Trades: 74
#
timestamp,time_utc8,btcusdc_close,btc_delta,buy_up_size,buy_up_price,buy_down_size,buy_down_price,cum_up_size,cum_up_avg_cost,cum_down_size,cum_down_avg_cost,target_shares,target_price,cash_out_shares,cash_out_price,trade_count
1767358800,2026-01-02 21:00:00,89334.08,0.0,,,,,,,,,,,,,
1767358801,2026-01-02 21:00:01,89334.09,0.01,,,,,,,,,,,,,
1767358802,2026-01-02 21:00:02,89334.09,0.01,,,,,,,,,,,,,
1767358803,2026-01-02 21:00:03,89334.09,0.01,,,,,,,,,,,,,
1767358804,2026-01-02 21:00:04,89334.08,0.0,,,,,,,,,,,,,
1767358805,2026-01-02 21:00:05,89334.08,0.0,,,,,,,,,,,,,
1767358806,2026-01-02 21:00:06,89334.08,0.0,,,,,,,,,,,,,
1767358807,2026-01-02 21:00:07,89334.08,0.0,,,,,,,,,,,,,
1767358808,2026-01-02 21:00:08,89334.08,0.0,,,,,,,,,,,,,
1767358809,2026-01-02 21:00:09,89334.08,0.0,,,,,,,,,,,,,
1767358810,2026-01-02 21:00:10,89334.08,0.0,,,,,,,,,,,,,
1767358811,2026-01-02 21:00:11,89333.44,-0.64,,,,,,,,,,,,,
1767358812,2026-01-02 21:00:12,89333.44,-0.64,,,,,,,,,,,,,
1767358813,2026-01-02 21:00:13,89333.44,-0.64,,,,,,,,,,,,,
1767358814,2026-01-02 21:00:14,89333.44,-0.64,,,,,,,,,,,,,
1767358815,2026-01-02 21:00:15,89324.5,-9.58,,,,,,,,,,,,,
1767358816,2026-01-02 21:00:16,89324.5,-9.58,,,,,,,,,,,,,
1767358817,2026-01-02 21:00:17,89324.51,-9.57,,,,,,,,,,,,,
1767358818,2026-01-02 21:00:18,89324.51,-9.57,,,,,,,,,,,,,
1767358819,2026-01-02 21:00:19,89324.1,-9.98,,,,,,,,,,,,,
1767358820,2026-01-02 21:00:20,89324.11,-9.97,,,,,,,,,,,,,
1767358821,2026-01-02 21:00:21,89326.0,-8.08,,,,,,,,,,,,,
1767358822,2026-01-02 21:00:22,89326.0,-8.08,,,,,,,,,,,,,
1767358823,2026-01-02 21:00:23,89326.0,-8.08,,,120.0,0.5,,,120.0,0.5,120.0,0.5,0.0,,4
1767358824,2026-01-02 21:00:24,89325.99,-8.09,,,,,,,120.0,0.5,120.0,0.5,0.0,,
1767358825,2026-01-02 21:00:25,89325.99,-8.09,110.31,0.526,120.0,0.5,110.31,0.526,240.0,0.5,129.69,0.5,110.31,1.026,9
1767358826,2026-01-02 21:00:26,89325.99,-8.09,,,,,110.31,0.526,240.0,0.5,129.69,0.5,110.31,1.026,
1767358827,2026-01-02 21:00:27,89325.99,-8.09,30.0,0.5217966666666667,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,1
1767358828,2026-01-02 21:00:28,89325.99,-8.09,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358829,2026-01-02 21:00:29,89325.99,-8.09,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358830,2026-01-02 21:00:30,89325.99,-8.09,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358831,2026-01-02 21:00:31,89325.99,-8.09,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358832,2026-01-02 21:00:32,89325.99,-8.09,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358833,2026-01-02 21:00:33,89326.0,-8.08,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358834,2026-01-02 21:00:34,89326.0,-8.08,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358835,2026-01-02 21:00:35,89326.0,-8.08,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358836,2026-01-02 21:00:36,89326.0,-8.08,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358837,2026-01-02 21:00:37,89326.0,-8.08,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358838,2026-01-02 21:00:38,89326.0,-8.08,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358839,2026-01-02 21:00:39,89340.94,6.86,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358840,2026-01-02 21:00:40,89340.93,6.85,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358841,2026-01-02 21:00:41,89340.93,6.85,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358842,2026-01-02 21:00:42,89340.93,6.85,,,,,140.31,0.5251,240.0,0.5,99.69,0.5,140.31,1.0251,
1767358843,2026-01-02 21:00:43,89340.93,6.85,150.0,0.52,,,290.31,0.5225,240.0,0.5,-50.31,0.4775,240.0,1.0225,5
1767358844,2026-01-02 21:00:44,89329.6,-4.48,,,,,290.31,0.5225,240.0,0.5,-50.31,0.4775,240.0,1.0225,
1767358845,2026-01-02 21:00:45,89329.61,-4.47,,,,,290.31,0.5225,240.0,0.5,-50.31,0.4775,240.0,1.0225,
1767358846,2026-01-02 21:00:46,89329.61,-4.47,,,,,290.31,0.5225,240.0,0.5,-50.31,0.4775,240.0,1.0225,
1767358847,2026-01-02 21:00:47,89329.61,-4.47,,,30.0,0.4986833333333333,290.31,0.5225,270.0,0.4999,-20.310000000000002,0.4775,270.0,1.0224,1
1767358848,2026-01-02 21:00:48,89329.6,-4.48,,,,,290.31,0.5225,270.0,0.4999,-20.310000000000002,0.4775,270.0,1.0224,
1767358849,2026-01-02 21:00:49,89329.6,-4.48,,,,,290.31,0.5225,270.0,0.4999,-20.310000000000002,0.4775,270.0,1.0224,
1767358850,2026-01-02 21:00:50,89329.6,-4.48,,,,,290.31,0.5225,270.0,0.4999,-20.310000000000002,0.4775,270.0,1.0224,
1767358851,2026-01-02 21:00:51,89315.16,-18.92,,,30.0,0.51,290.31,0.5225,300.0,0.5009,9.689999999999998,0.4991,290.31,1.0234,1
1767358852,2026-01-02 21:00:52,89315.16,-18.92,,,,,290.31,0.5225,300.0,0.5009,9.689999999999998,0.4991,290.31,1.0234,
1767358853,2026-01-02 21:00:53,89315.17,-18.91,,,,,290.31,0.5225,300.0,0.5009,9.689999999999998,0.4991,290.31,1.0234,
1767358854,2026-01-02 21:00:54,89315.17,-18.91,,,,,290.31,0.5225,300.0,0.5009,9.689999999999998,0.4991,290.31,1.0234,
1767358855,2026-01-02 21:00:55,89315.16,-18.92,,,,,290.31,0.5225,300.0,0.5009,9.689999999999998,0.4991,290.31,1.0234,
1767358856,2026-01-02 21:00:56,89315.16,-18.92,,,,,290.31,0.5225,300.0,0.5009,9.689999999999998,0.4991,290.31,1.0234,
1767358857,2026-01-02 21:00:57,89315.17,-18.91,,,,,290.31,0.5225,300.0,0.5009,9.689999999999998,0.4991,290.31,1.0234,
1767358858,2026-01-02 21:00:58,89315.17,-18.91,,,,,290.31,0.5225,300.0,0.5009,9.689999999999998,0.4991,290.31,1.0234,
1767358859,2026-01-02 21:00:59,89315.16,-18.92,,,,,290.31,0.5225,300.0,0.5009,9.689999999999998,0.4991,290.31,1.0234,
1767358860,2026-01-02 21:01:00,89315.16,-18.92,,,,,290.31,0.5225,300.0,0.5009,9.689999999999998,0.4991,290.31,1.0234,
