# Event: Bitcoin Up or Down - January 3, 5:45AM-6:00AM ET
# Slug: btc-updown-15m-1767437100
# Address: 0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d
# Time Range: 2026-01-03 18:45:00 ~ 2026-01-03 19:00:00
# Price Symbol: BTCUSDC
# Total Trades: 51
#
timestamp,time_utc8,btcusdc_close,btc_delta,buy_up_size,buy_up_price,buy_down_size,buy_down_price,cum_up_size,cum_up_avg_cost,cum_down_size,cum_down_avg_cost,target_shares,target_price,cash_out_shares,cash_out_price,hidden_lost,hidden_profit,trade_count
1767437100,2026-01-03 18:45:00,89800.19,0.0,,,,,,,,,,,,,,,
1767437101,2026-01-03 18:45:01,89800.19,0.0,,,,,,,,,,,,,,,
1767437102,2026-01-03 18:45:02,89788.55,-11.64,,,,,,,,,,,,,,,
1767437103,2026-01-03 18:45:03,89788.54,-11.65,,,,,,,,,,,,,,,
1767437104,2026-01-03 18:45:04,89788.54,-11.65,,,,,,,,,,,,,,,
1767437105,2026-01-03 18:45:05,89788.54,-11.65,,,,,,,,,,,,,,,
1767437106,2026-01-03 18:45:06,89788.54,-11.65,,,,,,,,,,,,,,,
1767437107,2026-01-03 18:45:07,89788.54,-11.65,,,,,,,,,,,,,,,
1767437108,2026-01-03 18:45:08,89788.54,-11.65,,,,,,,,,,,,,,,
1767437109,2026-01-03 18:45:09,89788.55,-11.64,,,,,,,,,,,,,,,
1767437110,2026-01-03 18:45:10,89788.5,-11.69,,,,,,,,,,,,,,,
1767437111,2026-01-03 18:45:11,89788.5,-11.69,,,,,,,,,,,,,,,
1767437112,2026-01-03 18:45:12,89788.5,-11.69,,,,,,,,,,,,,,,
1767437113,2026-01-03 18:45:13,89788.5,-11.69,,,,,,,,,,,,,,,
1767437114,2026-01-03 18:45:14,89788.5,-11.69,,,,,,,,,,,,,,,
1767437115,2026-01-03 18:45:15,89787.31,-12.88,,,,,,,,,,,,,,,
1767437116,2026-01-03 18:45:16,89787.31,-12.88,,,,,,,,,,,,,,,
1767437117,2026-01-03 18:45:17,89787.31,-12.88,8.0,0.43,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,1
1767437118,2026-01-03 18:45:18,89787.32,-12.87,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437119,2026-01-03 18:45:19,89787.32,-12.87,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437120,2026-01-03 18:45:20,89787.32,-12.87,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437121,2026-01-03 18:45:21,89787.32,-12.87,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437122,2026-01-03 18:45:22,89787.32,-12.87,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437123,2026-01-03 18:45:23,89787.32,-12.87,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437124,2026-01-03 18:45:24,89787.32,-12.87,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437125,2026-01-03 18:45:25,89787.32,-12.87,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437126,2026-01-03 18:45:26,89787.32,-12.87,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437127,2026-01-03 18:45:27,89787.32,-12.87,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437128,2026-01-03 18:45:28,89787.32,-12.87,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437129,2026-01-03 18:45:29,89787.32,-12.87,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437130,2026-01-03 18:45:30,89787.32,-12.87,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437131,2026-01-03 18:45:31,89789.81,-10.38,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437132,2026-01-03 18:45:32,89789.81,-10.38,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437133,2026-01-03 18:45:33,89789.81,-10.38,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437134,2026-01-03 18:45:34,89789.81,-10.38,,,,,8.0,0.43,,,-8.0,0.57,0.0,,-3.44,,
1767437135,2026-01-03 18:45:35,89789.81,-10.38,5.0,0.5,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,1
1767437136,2026-01-03 18:45:36,89789.81,-10.38,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437137,2026-01-03 18:45:37,89793.86,-6.33,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437138,2026-01-03 18:45:38,89795.02,-5.17,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437139,2026-01-03 18:45:39,89802.0,1.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437140,2026-01-03 18:45:40,89802.0,1.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437141,2026-01-03 18:45:41,89802.0,1.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437142,2026-01-03 18:45:42,89802.0,1.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437143,2026-01-03 18:45:43,89802.0,1.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437144,2026-01-03 18:45:44,89802.0,1.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437145,2026-01-03 18:45:45,89802.0,1.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437146,2026-01-03 18:45:46,89802.99,2.8,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437147,2026-01-03 18:45:47,89802.99,2.8,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437148,2026-01-03 18:45:48,89803.0,2.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437149,2026-01-03 18:45:49,89803.0,2.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437150,2026-01-03 18:45:50,89803.0,2.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437151,2026-01-03 18:45:51,89803.0,2.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437152,2026-01-03 18:45:52,89803.0,2.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437153,2026-01-03 18:45:53,89802.99,2.8,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437154,2026-01-03 18:45:54,89802.99,2.8,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437155,2026-01-03 18:45:55,89802.99,2.8,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437156,2026-01-03 18:45:56,89803.0,2.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437157,2026-01-03 18:45:57,89803.0,2.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437158,2026-01-03 18:45:58,89802.99,2.8,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437159,2026-01-03 18:45:59,89802.99,2.8,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437160,2026-01-03 18:46:00,89803.0,2.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437161,2026-01-03 18:46:01,89803.0,2.81,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437162,2026-01-03 18:46:02,89802.99,2.8,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437163,2026-01-03 18:46:03,89802.99,2.8,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437164,2026-01-03 18:46:04,89802.99,2.8,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437165,2026-01-03 18:46:05,89802.99,2.8,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437166,2026-01-03 18:46:06,89798.17,-2.02,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437167,2026-01-03 18:46:07,89798.17,-2.02,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437168,2026-01-03 18:46:08,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437169,2026-01-03 18:46:09,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437170,2026-01-03 18:46:10,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437171,2026-01-03 18:46:11,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437172,2026-01-03 18:46:12,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437173,2026-01-03 18:46:13,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437174,2026-01-03 18:46:14,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437175,2026-01-03 18:46:15,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437176,2026-01-03 18:46:16,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437177,2026-01-03 18:46:17,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437178,2026-01-03 18:46:18,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437179,2026-01-03 18:46:19,89798.17,-2.02,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437180,2026-01-03 18:46:20,89798.17,-2.02,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437181,2026-01-03 18:46:21,89798.17,-2.02,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437182,2026-01-03 18:46:22,89798.17,-2.02,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437183,2026-01-03 18:46:23,89798.17,-2.02,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437184,2026-01-03 18:46:24,89798.17,-2.02,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437185,2026-01-03 18:46:25,89798.17,-2.02,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437186,2026-01-03 18:46:26,89798.17,-2.02,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437187,2026-01-03 18:46:27,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437188,2026-01-03 18:46:28,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437189,2026-01-03 18:46:29,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
1767437190,2026-01-03 18:46:30,89798.16,-2.03,,,,,13.0,0.4569,,,-13.0,0.5431,0.0,,-5.9397,,
